partition_num,threads,servers,cross,tput
16,1,2,0,163224.0
16,1,2,20,129721.0
16,1,2,40,114950.0
16,1,2,60,100261.13333333335
16,1,2,80,94283.73333333334
16,1,2,100,85756.16666666667
16,1,4,0,216640.33333333334
16,1,4,20,162670.66666666666
16,1,4,40,129528.66666666667
16,1,4,60,110073.33333333333
16,1,4,80,94890.0
16,1,4,100,81737.5
16,1,8,0,257885.33333333334
16,1,8,20,180610.33333333334
16,1,8,40,128662.0
16,1,8,60,109912.0
16,1,8,80,88135.5
16,1,8,100,80733.09999999999
16,2,2,0,307825.0
16,2,2,20,249748.33333333334
16,2,2,40,220200.33333333334
16,2,2,60,207369.33333333334
16,2,2,80,185532.66666666666
16,2,2,100,175961.0
16,2,4,0,416905.0
16,2,4,20,330388.3333333333
16,2,4,40,264913.6666666667
16,2,4,60,220780.66666666666
16,2,4,80,191196.66666666666
16,2,4,100,169191.33333333334
16,2,8,0,486200.0
16,2,8,20,360977.6666666667
16,2,8,40,272859.3333333333
16,2,8,60,212997.0
16,2,8,80,183426.66666666666
16,2,8,100,156490.66666666666
16,4,2,0,502270.6666666667
16,4,2,20,434331.3333333333
16,4,2,40,403077.6666666667
16,4,2,60,366357.6666666667
16,4,2,80,343636.0
16,4,2,100,325349.0
16,4,4,0,630874.3333333334
16,4,4,20,531818.6666666666
16,4,4,40,436939.6666666667
16,4,4,60,368800.0
16,4,4,80,321652.0
16,4,4,100,293204.3333333333
16,8,2,0,907769.3333333334
16,8,2,20,806627.3333333334
16,8,2,40,738051.3333333334
16,8,2,60,680627.0
16,8,2,80,645093.0
16,8,2,100,604381.3333333334
32,1,2,0,164146.0
32,1,2,20,119278.0
32,1,2,40,105305.0
32,1,2,60,92642.09999999999
32,1,2,80,83610.5
32,1,2,100,76584.33333333333
32,1,4,0,217316.33333333334
32,1,4,20,149438.33333333334
32,1,4,40,111758.96666666667
32,1,4,60,101004.40000000001
32,1,4,80,85533.46666666667
32,1,4,100,78540.06666666667
32,1,8,0,242282.0
32,1,8,20,136087.33333333334
32,1,8,40,100659.73333333334
32,1,8,60,77690.96666666666
32,1,8,80,64804.0
32,1,8,100,53107.43333333333
32,2,2,0,306466.3333333333
32,2,2,20,237066.0
32,2,2,40,207901.0
32,2,2,60,185623.66666666666
32,2,2,80,170825.0
32,2,2,100,159868.0
32,2,4,0,378779.0
32,2,4,20,283218.6666666667
32,2,4,40,230908.33333333334
32,2,4,60,192656.0
32,2,4,80,167545.66666666666
32,2,4,100,147821.33333333334
32,2,8,0,481048.3333333333
32,2,8,20,324383.0
32,2,8,40,243440.33333333334
32,2,8,60,200693.0
32,2,8,80,168230.0
32,2,8,100,143928.33333333334
32,4,2,0,492237.3333333333
32,4,2,20,403368.6666666667
32,4,2,40,370370.3333333333
32,4,2,60,337181.0
32,4,2,80,324879.6666666667
32,4,2,100,293458.3333333333
32,4,4,0,641469.0
32,4,4,20,524905.0
32,4,4,40,434285.0
32,4,4,60,366493.0
32,4,4,80,318005.0
32,4,4,100,286400.5
32,4,8,0,684826.0
32,4,8,20,544756.3333333334
32,4,8,40,432604.0
32,4,8,60,343327.6666666667
32,4,8,80,301347.6666666667
32,4,8,100,258366.33333333334
32,8,2,0,904501.3333333334
32,8,2,20,762293.3333333334
32,8,2,40,692266.3333333334
32,8,2,60,632442.6666666666
32,8,2,80,593481.0
32,8,2,100,560998.3333333334
32,8,4,0,1074556.6666666667
32,8,4,20,907991.6666666666
32,8,4,40,744400.6666666666
32,8,4,60,643370.0
32,8,4,80,556868.0
32,8,4,100,508500.3333333333
32,16,2,0,1021381.3333333334
32,16,2,20,905881.3333333334
32,16,2,40,811394.0
32,16,2,60,750076.3333333334
32,16,2,80,709726.0
32,16,2,100,650257.3333333334
128,1,2,0,162792.33333333334
128,1,2,20,78333.1
128,1,2,40,62975.56666666667
128,1,2,60,66264.46666666666
128,1,2,80,46714.6
128,1,2,100,39506.166666666664
128,1,4,0,218862.66666666666
128,1,4,20,114519.8
128,1,4,40,93360.46666666667
128,1,4,60,76161.63333333333
128,1,4,80,62247.86666666667
128,1,4,100,61389.56666666667
128,1,8,0,256483.0
128,1,8,20,128892.16666666667
128,1,8,40,92650.73333333334
128,1,8,60,66710.26666666668
128,1,8,80,49403.36666666666
128,1,8,100,41141.333333333336
128,2,2,0,302480.6666666667
128,2,2,20,176362.66666666666
128,2,2,40,147015.0
128,2,2,60,123877.66666666667
128,2,2,80,112342.0
128,2,2,100,97920.36666666665
128,2,4,0,411371.6666666667
128,2,4,20,214885.66666666666
128,2,4,40,163370.0
128,2,4,60,133183.0
128,2,4,80,118392.33333333333
128,2,4,100,102623.8
128,2,8,0,479708.6666666667
128,2,8,20,233333.33333333334
128,2,8,40,170122.33333333334
128,2,8,60,139026.66666666666
128,2,8,80,110653.33333333333
128,2,8,100,99876.36666666665
128,4,2,0,482915.0
128,4,2,20,350167.0
128,4,2,40,299470.6666666667
128,4,2,60,283875.6666666667
128,4,2,80,252297.66666666666
128,4,2,100,242767.66666666666
128,4,4,0,633155.6666666666
128,4,4,20,422165.6666666667
128,4,4,40,339905.3333333333
128,4,4,60,295622.6666666667
128,4,4,80,259005.0
128,4,4,100,235270.66666666666
128,4,8,0,685945.6666666666
128,4,8,20,434911.6666666667
128,4,8,40,342640.6666666667
128,4,8,60,287863.0
128,4,8,80,250237.0
128,4,8,100,221804.66666666666
128,8,2,0,865870.0
128,8,2,20,632664.3333333334
128,8,2,40,563640.6666666666
128,8,2,60,521326.3333333333
128,8,2,80,475360.0
128,8,2,100,429953.6666666667
128,8,4,0,1152053.3333333333
128,8,4,20,760609.3333333334
128,8,4,40,628587.3333333334
128,8,4,60,571071.3333333334
128,8,4,80,453832.3333333333
128,8,4,100,427714.6666666667
128,8,8,0,1161690.0
128,8,8,20,792601.0
128,8,8,40,621989.0
128,8,8,60,506623.6666666667
128,8,8,80,424907.3333333333
128,8,8,100,382862.6666666667
128,16,2,0,996738.6666666666
128,16,2,20,732954.6666666666
128,16,2,40,669587.0
128,16,2,60,608263.6666666666
128,16,2,80,556103.3333333334
128,16,2,100,547200.6666666666
128,16,4,0,1380380.0
128,16,4,20,932641.5
128,16,4,40,723424.0
128,16,4,60,592135.5
128,16,4,80,557061.6666666666
128,16,4,100,469286.0
128,16,8,0,1531490.0
128,16,8,20,868133.5
128,16,8,40,667412.5
128,16,8,60,551550.0
128,16,8,80,425602.0
128,16,8,100,399625.0
256,1,2,0,161636.66666666666
256,1,2,20,70594.73333333334
256,1,2,40,41874.49999999999
256,1,2,60,42181.4
256,1,2,80,28218.033333333336
256,1,2,100,23205.899999999998
256,1,4,0,218184.66666666666
256,1,4,20,90453.26666666668
256,1,4,40,55115.9
256,1,4,60,50097.73333333334
256,1,4,80,48206.26666666666
256,1,4,100,20971.733333333334
256,1,8,0,260364.33333333334
256,1,8,20,115909.26666666666
256,1,8,40,89006.39999999998
256,1,8,60,59074.86666666667
256,1,8,80,61883.23333333334
256,1,8,100,53464.06666666667
256,2,2,0,300195.3333333333
256,2,2,20,141572.66666666666
256,2,2,40,108749.33333333333
256,2,2,60,86891.93333333333
256,2,2,80,74785.6
256,2,2,100,64283.23333333334
256,2,4,0,409694.0
256,2,4,20,167068.33333333334
256,2,4,40,123986.66666666667
256,2,4,60,102789.33333333333
256,2,4,80,79591.96666666667
256,2,4,100,68284.66666666667
256,2,8,0,460328.3333333333
256,2,8,20,167619.33333333334
256,2,8,40,123786.66666666667
256,2,8,60,90796.0
256,2,8,80,84648.06666666667
256,2,8,100,65821.93333333333
256,4,2,0,474041.3333333333
256,4,2,20,321763.0
256,4,2,40,259046.33333333334
256,4,2,60,231441.66666666666
256,4,2,80,202091.66666666666
256,4,2,100,198258.0
256,4,4,0,611481.3333333334
256,4,4,20,332710.6666666667
256,4,4,40,269722.0
256,4,4,60,221474.0
256,4,4,80,200559.0
256,4,4,100,182139.0
256,4,8,0,667761.0
256,4,8,20,366554.6666666667
256,4,8,40,269125.3333333333
256,4,8,60,235646.33333333334
256,4,8,80,194772.66666666666
256,4,8,100,177257.33333333334
256,8,2,0,861859.0
256,8,2,20,494833.3333333333
256,8,2,40,417426.0
256,8,2,60,377674.0
256,8,2,80,340530.6666666667
256,8,2,100,305792.3333333333
256,8,4,0,1140686.6666666667
256,8,4,20,623761.3333333334
256,8,4,40,467372.0
256,8,4,60,417590.3333333333
256,8,4,80,375101.6666666667
256,8,4,100,343078.0
256,8,8,0,1202816.6666666667
256,8,8,20,648063.6666666666
256,8,8,40,500018.0
256,8,8,60,399314.6666666667
256,8,8,80,322659.6666666667
256,8,8,100,280648.6666666667
256,16,2,0,981312.6666666666
256,16,2,20,534068.6666666666
256,16,2,40,501047.3333333333
256,16,2,60,438954.0
256,16,2,80,401059.0
256,16,2,100,354349.6666666667
256,16,4,0,1432543.3333333333
256,16,4,20,772281.3333333334
256,16,4,40,565531.3333333334
256,16,4,60,489127.3333333333
256,16,4,80,431706.6666666667
256,16,4,100,353036.6666666667
256,16,8,0,1525650.0
256,16,8,20,739179.5
256,16,8,40,537158.5
256,16,8,60,445391.5
256,16,8,80,345715.5
256,16,8,100,318265.0
